id,code,dose,fraction,treatment
181,xxF3_1,100x,F3,100x_F3
182,xxF3_2,100x,F3,100x_F3
183,xxF3_3,100x,F3,100x_F3
184,xxF3_4,100x,F3,100x_F3
185,xxF3_5,100x,F3,100x_F3
186,xxF3_6,100x,F3,100x_F3
187,xxF3_7,100x,F3,100x_F3
188,xxF3_8,100x,F3,100x_F3
189,xxF3_9,100x,F3,100x_F3
190,xxF3_10,100x,F3,100x_F3
191,xxF4_1,100x,F4,100x_F4
192,xxF4_2,100x,F4,100x_F4
193,xxF4_3,100x,F4,100x_F4
194,xxF4_4,100x,F4,100x_F4
195,xxF4_5,100x,F4,100x_F4
196,xxF4_6,100x,F4,100x_F4
197,xxF4_7,100x,F4,100x_F4
198,xxF4_8,100x,F4,100x_F4
199,xxF4_9,100x,F4,100x_F4
200,xxF4_10,100x,F4,100x_F4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
